task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
124,124.py,0.0,0.1561969968460128,0.16867759749799194,0.47058823529411764,0.38461538461538464,0.42760180995475117
126,126.py,0.0,0.05705093314691302,0.07411039308903236,0.0,0.4117647058823529,0.20588235294117646
130,130.py,0.0,0.04885744139976472,0.0612957497932821,0.1724137931034483,0.21052631578947367,0.19147005444646098
133,133.py,0.0,0.06985342056580097,0.07730551756939454,1.0,1.0,1.0
14,14.py,0.0,0.016603106174265705,0.02924007455652195,0.1,1.0,0.55
141,141.py,0.0,0.0069654510261311945,0.011595804105034167,0.2,0.12121212121212122,0.1606060606060606
161,161.py,0.0,0.02786947127860291,0.03432945239845196,0.08333333333333333,0.4444444444444444,0.2638888888888889
168,168.py,0.0,0.19124813148884032,0.310441435588881,0.5,0.7272727272727273,0.6136363636363636
20,20.py,0.0,0.008574427603061716,0.016896132156671566,0.21621621621621623,0.29411764705882354,0.2551669316375199
227,227.py,0.0,0.01110426296541702,0.013017912285764953,1.0,1.0,1.0
235,235.py,0.0,0.010346235489397634,0.018769357361352615,0.2,0.2222222222222222,0.2111111111111111
242,242.py,0.0,0.017487432819564223,0.020687206010259414,0.0,0.5555555555555556,0.2777777777777778
247,247.py,0.0,0.012992699896755949,0.022372409087444936,0.21428571428571427,0.13043478260869565,0.17236024844720496
270,270.py,0.0,0.020904996083879822,0.03276736880640153,0.20833333333333334,0.6470588235294118,0.4276960784313726
290,290.py,0.0,0.004625479698079485,0.01727371406259899,0.0,0.42857142857142855,0.21428571428571427
307,307.py,0.0,0.021281397709599685,0.025098621243978974,0.11764705882352941,0.45454545454545453,0.28609625668449196
309,309.py,0.0,0.007511251053510192,0.03012006678699483,0.36363636363636365,0.8333333333333334,0.5984848484848485
311,311.py,0.0,0.04217149969103787,0.04518217671043824,0.2571428571428571,0.25,0.25357142857142856
412,412.py,0.0,0.02084941894345334,0.02414977936793222,0.4666666666666667,1.0,0.7333333333333334
415,415.py,0.0,0.7333542237270825,0.7455810056553708,0.8260869565217391,1.0,0.9130434782608696
420,420.py,0.0,0.5246229845869267,0.5423782837718303,0.3181818181818182,0.5625,0.44034090909090906
427,427.py,0.0,0.7598356856515925,1.0,0.7692307692307693,1.0,0.8846153846153846
428,428.py,0.0,0.015530057113590824,0.03546712752812686,0.4186046511627907,0.42857142857142855,0.42358803986710963
434,434.py,0.0,0.23693055763743093,0.26569365969147957,0.5,1.0,0.75
435,435.py,0.0,0.015703799285850036,0.09036020036098448,0.2857142857142857,1.0,0.6428571428571428
436,436.py,0.0,0.018515655955607467,0.021500003802814183,0.11764705882352941,0.4444444444444444,0.28104575163398693
437,437.py,0.0,0.0034815095771907477,0.011460878429386796,0.04,0.1875,0.11375
443,443.py,0.0,0.008531104334876973,0.017013884945977147,0.13333333333333333,0.7272727272727273,0.4303030303030303
445,445.py,0.0,0.2225252108443019,0.24147015760932922,0.6666666666666666,0.5,0.5833333333333333
446,446.py,0.0,0.06054241748197744,0.0664462779761476,0.29411764705882354,0.45454545454545453,0.37433155080213903
448,448.py,0.0,0.002915418158559639,0.00929876956391069,0.23404255319148937,0.13793103448275862,0.185986793837124
453,453.py,0.0,0.2406390344689371,0.25936948141639554,0.5942028985507246,0.4782608695652174,0.536231884057971
455,455.py,0.0,0.20059767794569708,0.22676969933796182,0.6666666666666666,0.625,0.6458333333333333
456,456.py,0.0,0.02818780157629645,0.0322389403377945,0.16666666666666666,0.7142857142857143,0.44047619047619047
458,458.py,0.0,0.06389431042462725,0.0752421768074461,0.375,0.6666666666666666,0.5208333333333333
460,460.py,0.0,0.5,0.511501768556221,0.25,1.0,0.625
