experiment,model,avg_codebleu,total_samples,csv_file
EXP_2_V1_V2,openai_exp2_during_gen_v1_100_mbpp,0.23856800000000000,100,results/experiment_codebleu/EXP_2_V1_V2_openai_exp2_during_gen_v1_100_mbpp_codebleu.csv
EXP_2_V1_V2,openai_exp2_during_gen_v2_100_mbpp,0.25246299999999999,99,results/experiment_codebleu/EXP_2_V1_V2_openai_exp2_during_gen_v2_100_mbpp_codebleu.csv
EXP_2_V1_V2,qwen14_exp2_during_gen_v1_100_mbpp,0.2498960000000000,100,results/experiment_codebleu/EXP_2_V1_V2_qwen14_exp2_during_gen_v1_100_mbpp_codebleu.csv
EXP_2_V1_V2,qwen14_exp2_during_gen_v2_100_mbpp,0.2518290000000000,100,results/experiment_codebleu/EXP_2_V1_V2_qwen14_exp2_during_gen_v2_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,claude_exp3-1_during_gen_v1_100_mbpp,0.2547160000000000,100,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_claude_exp3-1_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v1_100_mbpp,0.2536080000000000,97,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v2_100_mbpp,0.25047399999999997,84,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v2_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-2_during_gen_v1_100_mbpp,0.25185700000000000,100,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-2_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-2_during_gen_v2_100_mbpp,0.24819099999999999,98,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-2_during_gen_v2_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-2_during_gen_v3_100_mbpp,0.2518980000000000,95,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-2_during_gen_v3_100_mbpp_codebleu.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-3_during_gen_v1_100_mbpp,0.24663900000000000,100,results/experiment_codebleu/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-3_during_gen_v1_100_mbpp_codebleu.csv
